AssetID,Site,Department,WorkGroup,AssetName,PCName,PathWebpage,AssetEnabled,AssetDescription,TransitionTime,ProductionModifier,DisplayMaster,DisplayName,ProductionRate,Zones,JDAAT_StationID,TransitionMode
95,Pintura,Conveyor 2,02.- Cabina Primer,Stop #10,,,1,,212,1.00,True,,17.00000,,0,True
108,Pintura,Conveyor 3,02.- Descarga 2,Stop #23 Descarga,,,1,,212,1.00,True,,8.50000,,0,True
112,Pintura,Conveyor 3,04.- Mesanine,Stop #27,,,1,,212,1.00,True,,8.50000,,0,True
114,Pintura,Conveyor 3,05.- Banco,Stop #29,,,1,,0,1.00,True,,.00000,,0,True
126,CDR,LINEA C MOD,LINEA C,OP 20B,,,1,,870,1.00,True,,3.00000,,0,True
128,CDR,LINEA C MOD,LINEA C,OP 30 SUB IZQ,,,1,,870,1.00,True,,3.00000,,0,True
130,CDR,LINEA C MOD,LINEA C,OP 40 FENDER,,,1,,1086,1.00,True,,3.00000,,0,True
134,CDR,LINEA C SUB,LINEA C SUB,OP 45 SUB FENDER DER,,,1,,426,1.00,True,,3.00000,,0,True
149,X4,8. Ensamble,Low Volume,ST01,,,1,,3300,1.00,False,,1.00000,,308,True
160,X4,9.Condor,Tubos Large Cabs,Bender Plasma Cell,,,1,,1800,1.00,False,,40.00000,,0,True
